Parsing Tree (Table Representation):
Index | Value         | Father | Sibling
  182 | term          |     -1 |     -1
  183 | 0             |     -1 |     -1
  184 | 24            |     -1 |     -1
  185 | stmt_list     |     -1 |     -1
  186 | stmt          |     -1 |     -1
  187 | simple_stmt   |     -1 |     -1
  188 | assignmnt     |     -1 |     -1
  189 | 0             |     -1 |     -1
  190 | 6             |     -1 |     -1
  191 | expression    |     -1 |     -1
  192 | term          |     -1 |     -1
  193 | 0             |     -1 |     -1
  194 | operation     |     -1 |     -1
  195 | 2             |     -1 |     -1
  196 | expression    |     -1 |     -1
  197 | term          |     -1 |     -1
  198 | 0             |     -1 |     -1
  199 | 24            |     -1 |     -1
  200 | 38            |     -1 |     -1
  201 | stmt_list     |     -1 |     -1
  202 | stmt          |     -1 |     -1
  203 | simple_stmt   |     -1 |     -1
  204 | io_stmt       |     -1 |     -1
  205 | 42            |     -1 |     -1
  206 | id_list       |     -1 |     -1
  207 | 0             |     -1 |     -1
  208 | 24            |     -1 |     -1
  209 | 30            |     -1 |     -1
